version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 555555555555 eni-order01 10.1.1.20 10.1.5.100 49200 5432 6 250 125000 1707552900 1707552960 ACCEPT OK
2 555555555555 eni-order01 10.1.5.100 10.1.1.20 5432 49200 6 200 100000 1707552900 1707552960 ACCEPT OK
2 555555555555 eni-order01 10.1.1.20 10.1.5.100 49201 5432 6 180 90000 1707553000 1707553060 ACCEPT OK
2 555555555555 eni-order01 10.1.1.20 10.1.6.50 50100 6379 6 400 200000 1707552900 1707552960 ACCEPT OK
2 555555555555 eni-order01 10.1.6.50 10.1.1.20 6379 50100 6 350 175000 1707552900 1707552960 ACCEPT OK
2 555555555555 eni-worker1 10.1.2.30 10.1.5.100 49300 5432 6 120 60000 1707552900 1707552960 ACCEPT OK
2 555555555555 eni-worker1 10.1.2.30 10.1.6.50 50200 6379 6 80 40000 1707552900 1707552960 ACCEPT OK
2 555555555555 eni-report1 10.1.4.50 10.1.5.100 49400 5432 6 300 150000 1707553200 1707553260 ACCEPT OK
2 555555555555 eni-report1 10.1.5.100 10.1.4.50 5432 49400 6 280 140000 1707553200 1707553260 ACCEPT OK
2 555555555555 eni-order01 10.1.1.20 10.1.7.80 51000 443 6 50 25000 1707552900 1707552960 ACCEPT OK
2 666666666666 eni-paymnt1 10.2.1.10 10.1.1.20 52000 443 6 30 15000 1707552900 1707552960 ACCEPT OK
2 555555555555 eni-order01 10.1.1.20 169.254.169.254 49500 80 6 5 2500 1707552900 1707552960 ACCEPT OK
