version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 111111111111 eni-abc123 10.0.1.50 10.0.2.100 49152 5432 6 100 50000 1706000000 1706000060 ACCEPT OK
2 111111111111 eni-abc123 10.0.2.100 10.0.1.50 5432 49152 6 80 40000 1706000000 1706000060 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.2.100 49153 5432 6 200 100000 1706000100 1706000160 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.3.200 50000 3306 6 150 75000 1706000000 1706000060 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.3.200 50001 3306 6 300 150000 1706000100 1706000160 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.4.10 51000 6379 6 500 250000 1706000000 1706000060 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.4.10 51001 6379 6 400 200000 1706000100 1706000160 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.4.10 51002 6379 6 600 300000 1706000200 1706000260 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.5.50 52000 443 6 50 25000 1706000000 1706000060 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.5.50 52001 443 6 30 15000 1706000100 1706000160 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.6.75 53000 9092 6 1000 5000000 1706000000 1706000060 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.6.75 53001 9092 6 800 4000000 1706000100 1706000160 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.6.75 53002 9092 6 1200 6000000 1706000200 1706000260 ACCEPT OK
2 111111111111 eni-abc123 10.0.7.20 10.0.1.50 54000 8080 6 200 100000 1706000000 1706000060 ACCEPT OK
2 111111111111 eni-abc123 10.0.7.20 10.0.1.50 54001 8080 6 150 75000 1706000100 1706000160 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.8.30 55000 9200 6 50 25000 1706000000 1706000060 ACCEPT OK
2 111111111111 eni-def456 10.0.1.50 10.0.2.100 49200 5432 6 120 60000 1706000300 1706000360 ACCEPT OK
2 111111111111 eni-def456 10.0.1.50 169.254.169.254 49300 80 6 5 2500 1706000000 1706000060 ACCEPT OK
2 111111111111 eni-def456 10.0.1.50 10.0.2.100 49201 5432 6 90 45000 1706000400 1706000460 ACCEPT OK
2 111111111111 eni-ghi789 10.0.1.50 10.0.9.99 56000 27017 6 75 37500 1706000000 1706000060 ACCEPT OK
2 111111111111 eni-ghi789 10.0.1.50 10.0.10.5 57000 5439 6 30 15000 1706000000 1706000060 ACCEPT OK
2 111111111111 eni-abc123 10.0.1.50 10.0.2.100 49300 5432 6 0 0 1706000500 1706000560 REJECT OK
