version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 142857000002 eni-app360 10.1.6.54 10.3.1.10 56325 3306 6 192 138240 1739259257 1739259420 ACCEPT OK
2 142857000002 eni-app315 10.1.7.23 10.3.1.10 56467 3306 6 472 607936 1738917218 1738917281 ACCEPT OK
2 142857000002 eni-app821 10.1.10.168 10.3.1.10 39790 3306 6 161 180642 1739364380 1739364417 ACCEPT OK
2 142857000002 eni-app250 10.1.4.174 10.3.1.10 62684 3306 6 355 160460 1739040134 1739040421 ACCEPT OK
2 142857000002 eni-app923 10.1.5.147 10.3.1.10 60659 3306 6 426 421740 1739442774 1739443074 ACCEPT OK
2 142857000002 eni-app413 10.1.3.186 10.3.1.10 53379 3306 6 356 115344 1739446968 1739447244 ACCEPT OK
2 142857000002 eni-app560 10.1.8.36 10.3.1.10 41781 3306 6 190 364610 1738646595 1738646754 ACCEPT OK
2 142857000002 eni-app982 10.1.4.19 10.3.1.10 57759 3306 6 464 177712 1739158295 1739158454 ACCEPT OK
2 142857000002 eni-app670 10.1.5.43 10.3.1.10 47604 3306 6 154 293062 1738735063 1738735323 ACCEPT OK
2 142857000002 eni-app911 10.1.9.70 10.3.1.10 39531 3306 6 171 233073 1738709278 1738709385 ACCEPT OK
2 142857000002 eni-app936 10.1.9.137 10.3.1.10 43064 3306 6 65 65130 1738604411 1738604548 ACCEPT OK
2 142857000002 eni-app691 10.1.9.141 10.3.1.10 46667 3306 6 75 124275 1738729554 1738729669 ACCEPT OK
2 142857000002 eni-app115 10.1.2.21 10.3.1.10 44899 3306 6 467 205013 1738673566 1738673713 ACCEPT OK
2 142857000002 eni-app634 10.1.1.14 10.3.1.10 58060 3306 6 82 132512 1738736530 1738736796 ACCEPT OK
2 142857000002 eni-app620 10.1.7.39 10.3.1.10 64280 3306 6 73 19053 1739278102 1739278329 ACCEPT OK
2 142857000002 eni-app402 10.1.1.150 10.3.1.10 45177 3306 6 92 172408 1738623229 1738623449 ACCEPT OK
2 142857000002 eni-app340 10.1.2.83 10.3.1.10 51731 3306 6 81 136323 1739172710 1739172903 ACCEPT OK
2 142857000002 eni-app148 10.1.2.160 10.3.1.10 64394 3306 6 311 543006 1738879639 1738879810 ACCEPT OK
2 142857000002 eni-app422 10.1.9.174 10.3.1.10 53040 3306 6 120 71880 1739251194 1739251433 ACCEPT OK
2 142857000002 eni-app850 10.1.2.18 10.3.1.10 33875 3306 6 51 30906 1739031522 1739031786 ACCEPT OK
2 142857000002 eni-app935 10.1.3.10 10.3.1.10 51049 3306 6 239 447647 1739215831 1739216029 ACCEPT OK
2 142857000002 eni-app805 10.1.8.29 10.3.1.10 35787 3306 6 219 52560 1739163217 1739163470 ACCEPT OK
2 142857000002 eni-app175 10.1.7.118 10.3.1.10 33622 3306 6 187 72556 1739275753 1739275984 ACCEPT OK
2 142857000002 eni-app820 10.1.5.32 10.3.1.10 47500 3306 6 412 158208 1739145977 1739146151 ACCEPT OK
2 142857000002 eni-app508 10.1.8.148 10.3.1.10 50388 3306 6 215 87075 1738371325 1738371595 ACCEPT OK
2 142857000002 eni-app891 10.1.9.167 10.3.1.10 45524 3306 6 57 54264 1738455991 1738456241 ACCEPT OK
2 142857000002 eni-app244 10.1.9.61 10.3.1.10 57535 3306 6 200 266800 1739248154 1739248391 ACCEPT OK
2 142857000002 eni-app115 10.1.7.165 10.3.1.10 48108 3306 6 285 514995 1738702088 1738702339 ACCEPT OK
2 142857000002 eni-app221 10.1.9.143 10.3.1.10 63732 3306 6 375 509250 1739538273 1739538573 ACCEPT OK
2 142857000002 eni-app479 10.1.10.28 10.3.1.10 60866 3306 6 236 61832 1739385737 1739385859 ACCEPT OK
2 142857000002 eni-app486 10.1.8.29 10.3.1.10 34299 3306 6 341 385330 1739129310 1739129461 ACCEPT OK
2 142857000002 eni-app818 10.1.1.32 10.3.1.10 56263 3306 6 117 126711 1738633298 1738633560 ACCEPT OK
2 142857000002 eni-app291 10.1.10.153 10.3.1.10 57680 3306 6 475 943825 1739462664 1739462701 ACCEPT OK
2 142857000002 eni-app879 10.1.2.151 10.3.1.10 56920 3306 6 487 102757 1739002861 1739002962 ACCEPT OK
2 142857000002 eni-app421 10.1.8.102 10.3.1.10 40486 3306 6 221 275145 1738520755 1738521020 ACCEPT OK
2 142857000002 eni-app787 10.1.8.84 10.3.1.10 41809 3306 6 411 157824 1739388595 1739388874 ACCEPT OK
2 142857000002 eni-app176 10.1.7.164 10.3.1.10 39096 3306 6 144 259920 1738990430 1738990534 ACCEPT OK
2 142857000002 eni-app512 10.1.2.165 10.3.1.10 41796 3306 6 414 584568 1738955896 1738956149 ACCEPT OK
2 142857000002 eni-app588 10.1.3.51 10.3.1.10 54674 3306 6 122 175070 1738926411 1738926703 ACCEPT OK
2 142857000002 eni-app370 10.1.8.23 10.3.1.10 56783 3306 6 465 766320 1738524129 1738524295 ACCEPT OK
2 142857000002 eni-app400 10.1.2.151 10.3.1.10 57202 3306 6 227 361838 1738644594 1738644872 ACCEPT OK
2 142857000002 eni-app229 10.1.6.121 10.3.1.10 32957 3306 6 449 554515 1738463150 1738463252 ACCEPT OK
2 142857000002 eni-app827 10.1.6.137 10.3.1.10 33951 3306 6 475 95000 1738632930 1738632985 ACCEPT OK
2 142857000002 eni-app519 10.1.7.66 10.3.1.10 50797 3306 6 410 369000 1738500895 1738500952 ACCEPT OK
2 142857000002 eni-app385 10.1.3.64 10.3.1.10 63570 3306 6 473 226094 1739331343 1739331463 ACCEPT OK
2 142857000002 eni-app838 10.1.3.153 10.3.1.10 51117 3306 6 362 315302 1739423074 1739423106 ACCEPT OK
2 142857000002 eni-app936 10.1.2.134 10.3.1.10 44745 3306 6 316 485060 1738490496 1738490608 ACCEPT OK
2 142857000002 eni-app529 10.1.8.71 10.3.1.10 37518 3306 6 96 45984 1738917071 1738917300 ACCEPT OK
2 142857000002 eni-app160 10.1.6.11 10.3.1.10 55799 3306 6 296 98864 1739505170 1739505230 ACCEPT OK
2 142857000002 eni-app725 10.1.2.157 10.3.1.10 44433 3306 6 240 48480 1738559819 1738560086 ACCEPT OK
2 142857000002 eni-app182 10.1.2.90 10.3.1.10 35626 3306 6 145 155875 1738597024 1738597239 ACCEPT OK
2 142857000002 eni-app239 10.1.8.23 10.3.1.10 45849 3306 6 470 642020 1738844919 1738844971 ACCEPT OK
2 142857000002 eni-app707 10.1.8.28 10.3.1.10 53340 3306 6 464 501584 1738436845 1738436882 ACCEPT OK
2 142857000002 eni-app769 10.1.8.75 10.3.1.10 38444 3306 6 408 774792 1738377654 1738377942 ACCEPT OK
2 142857000002 eni-app815 10.1.5.153 10.3.1.10 51972 3306 6 414 360180 1739571770 1739571916 ACCEPT OK
